bike_station_name,poi_name,distance,latitude,longitude
Arbutus & 10th,Napoletana Pizza Cafe & Gelato,20.534399087184156,49.2629833278338,-123.152794573611
Arbutus & 10th,Delhi 6 Indian Bistro,616.4642053555364,49.2653386,-123.1449329
Arbutus & 10th,Au Comptoir,650.1547881636194,49.268034328356,-123.15672487756
Arbutus & 10th,Z&W Shanghai,97.76758898570553,49.2635679666207,-123.153370158669
Arbutus & 10th,Plaisir Sucre,72.47732410756844,49.2621953142164,-123.152817707417
Arbutus & 10th,Raisu,710.0069927836247,49.2679990419609,-123.158381134272
Comox & Denman,Kingyo,299.1753609603427,49.29073911099211,-123.13705023185994
Comox & Denman,Guu with Garlic,423.39609109331275,49.290249,-123.1338142
Comox & Denman,España Restaurant,97.72491105549689,49.2880552,-123.1404114
Comox & Denman,Noah's Cafe,62.6645058688772,49.28827635407216,-123.1400279
Comox & Denman,Peaked Pies,150.44825345036745,49.2896489,-123.1384797
Comox & Denman,Saku,507.3095877981501,49.289223,-123.132266
Comox & Denman,Café Portrait,95.52998221903412,49.2881056129168,-123.140413686633
Comox & Denman,Legendary Noodle House,41.80475346932087,49.2883958,-123.13983
